id,title,artist,year,genre,lyrics_raw,lyrics_clean
226,Вогонь,Karna,,Rock,"Візьми мій ключ
Ним серце відкрути
Хай вистрибнуть
Надламані болти
Відкрий мій рот
І під'єднай дроти
Я так чекав
Твоєї красоти
Хай твій вогонь пече!
Хай мій вогонь все спалює!
Смішний мій рух
Скриплять старі зубці
Старий солдат
З душею в кулаці
Я так давно
Чекав на слово """"ми""""
Моя любов
Ржавіла від зими...
Глухий мій сміх,
Без крапель кислоти
Туплять, димлять
Старенькії слоти
Гризуть щурі
Діоди і мости
Лиш серце жде
Твоєї красоти
Хай твій вогонь пече!
Хай мій вогонь все спалює!""",
227,Хризантеми,Karna,,Rock,"Я в неділю не працюю
Вдягнуся гарненько
Після церкви із колегой
Вип'єм полегеньку
Я людина проста
Тяжко тиждень роблю
Ну і шо, що разок
У чарці не відмовлю
Най цвіте Вкраїна
Пахнуть хризантеми
Най будуть здорові
Нервові системи!
Най квітнуть сади
В них співають діти
Най будуть щасливі
Най будуть радіти
Я в неділю не грішу
Не краду на ничку
А як десь сі матюкну
То поставлю свічку
На пляшки не дивлюсь
Помогав родині
Ну ховайтесь тепер, курво!
Відірвуся нині!
Най цвіте Вкраїна
Пахнуть хризантеми
Най будуть здорові
Нервові системи!
Най квітнуть сади
В них співають діти
Най будуть щасливі
Най будуть радіти""
",
228,Полтергейст,Karna,,Rock,"Ти рідина
І краплі ті що стікали по мені
Лише одна
І зводять с розуму молекули весни
Ти сатана
Ти справжній демон, коли тебе нема
Моя струна
Моя струна рве душе, душе, навпаки
Стережи мене
Стережи мене, полтергейст
Не лишай мене
Не лишай мене, полтергейст
Ти рідина
І краплі ті, що живуть в моїй крові
Ти тишина
Спокій немов море зі спрутом в глибині
Моя краса
Ти справжній вибух незнайомих почуттів
Моя одна
Той білий привид, що з'їв моїх ворогів
Стережи мене
Стережи мене, полтергейст
Не лишай мене
Не лишай мене, полтергейст
А-а-а-а а-а а-а-а
А-а-а-а а-а а-а-а
Стережи мене
Стережи мене, полтергейст
Не лишай мене
Не лишай мене, полтергейст
Стережи мене, стережи мене
Не лишай мене
Стережи мене, стережи мене
Не лишай мене
",
229,Синевир,Karna,,Rock,"Я посилаю вас на ліси і гори
Тут у вас немає сили
Немає сили
Немає сили
Не рубай! Не рубай! Не рубай, прошу
Вісім діточок заховав під гілочку
Не пиляй! Не пиляй! Не пиляй красу
Тисячі річок розіллються повінню
Кинь зброю! Кинь зброю
Кинь зброю! Не стріляй
Кинь зброю! Кинь зброю
Кинь зброю! Геть
Кинь зброю! Кинь зброю
Кинь зброю! Не стріляй
Кинь зброю! Кинь зброю
Кинь зброю! Геть
А твоя любов, де вона?
Випили всю кров демони, демони
Чоботи в сльозах синіх гір
Ти прости дурних, Синевир
Не пали! Не пали! Не пали, прошу
Що ж я дітям, онукам залишу?
Кинь зброю! Кинь зброю
Кинь зброю! Не стріляй
Кинь зброю! Кинь зброю
Кинь зброю! Геть
А твоя любов, де вона?
Випили всю кров демони, демони
Чоботи в сльозах синіх гір
Ти прости дурних, Синевир (Синевир)
Синевир (Синевир)
Синевир
Синевир
А твоя любов, де вона?
Випили всю кров демони, демони
Чоботи в сльозах синіх гір
Ти прости дурних, Синевир (Синевир)
Синевир (Синевир)
",
230,Янголи,Karna,,Rock,"Там у далеких, чужих містах
Десь на пустому пероні
Я світляком сяду на ліхтар
І почуття всі назовні
Рельсами стукаю затишно в такт
Звуки пустого вагона
Я підсвічу тобі ввечері шлях
Своїм останнім нейтроном
Там за спиною, там спиною...
Янголи завжди поруч,
Самий злий із них - це я!
Це я!
Демони завжди поруч,
Самий добрий з них - це я!
Це я!
Вже відгриміла моя війна
Оркестри та чорні вітрила
Ти не сумуй, коли будеш сама
Сорі, бо трішки накрило
Там на далеких, пустих берегах
Замов бажання у зорі
І ми зіллємось в альпійських струмках
Та розчиняємось в морі...
Там за спиною, там спиною...
Янголи завжди поруч,
Самий злий із них - це я!
Це я!
Демони завжди поруч,
Самий добрий з них - це я!
Це я!
Ніхто з нас не забере
Із собою звідси нічого.
Але нам випала сумна
і водночас найщасливіша
можливість.
Можливість залишити...
А залишити ми можемо дуже багато...""",
231,Ракети Ілона Маски,Karna,,Rock,"Радіоактивні хвилі
Дядькові шось поробили
Мікрорентгени в тілі
Зовсім людину здуріли
Як дожити до паски?
Як дожити до паски?
Падають з неба на нас
Ракети Ілона Маски
Комп'ютери, Інстаграми
Нема листа до тата, до мами
Блогери з великими губами
Запхались у вспливаючі реклами
Як дожити до паски?
Як дожити до паски?
Падають з неба на нас
Ракети Ілона Маски
Чипа в людину вживляли
Лайки, коменти, скандали
Червону руту знайшли
І на базарі продали
Як дожити до паски?
Як дожити до паски?
Падають з неба на нас
Ракети Ілона Маски
Слухайте казку про Ілона Маску...""
",
232,Залиши,Karna,,Rock,"Деколи я був на самому дні
Босим по дорозі, на обличчі піт
Поділяв навпіл воду та хліб
Ворогів і друзів не ділив
Жив як хотів, без зайвих слів
Розуміючи сивих вовків спів
Іноді були тільки скелі крижані
А деколи я міг перевернути світ
Залиш мені місяць, залиш мені гори
Я вже не самотній, світять мені зорі
Залиш мені місяць, залиш мені гори
Я вже не самотній, світять мені зорі (зорі, зорі, зорі)
Гу-у-у-у-у-у-у-у
Гу-у-у-у-у-у-у-у
Гу-у-у-у-у-у-у-у
Гу-у-у-у-у-у-у-у
Полум'я вогонь, жертва в хижака
Так життя мінялося, як гірська ріка
Залишив останню спробу жити знов
Увійди всередину, заповни мою кров
Залиш мені місяць, залиш мені гори
Я вже не самотній, світять мені зорі
Залиш мені місяць, залиш мені гори
Я вже не самотній, світять мені зорі (зорі, зорі, зорі)
Залиши мені, залиш мені
Залиши мені, залиш мені
Залиши мені, залиш мені
Залиши мені, залиш мені
Залиши мені, залиш мені
Залиши мені, залиш мені
Залиши мені, залиш мені
Залиши мені, залиш мені",
233,Прометей,Karna,,Rock,"Ти троянда, я камiнь
Зимний космос мiж нами
Ти Пандора, я Каїн
Нехай прийде цунамi
I зруйнує все
Лети, лети крiзь зорi, Прометей
I забери все це
Пали, неси вогонь свiй, Прометей
Лиши її серце
Ти смерека у лiсi,
А я крапав туманом
Я просив самих бiсiв:
Занесiть все бураном
I зруйнуйте все!
Лети, лети крiзь зорi, Прометей
I забери все це
Пали, неси вогонь свiй, Прометей
Лиши її серце
Лети, лети крiзь зорi, Прометей
I забери все це
Пали, неси вогонь свiй, Прометей
Лиши її серце",
234,Ватра,Karna,,Rock,"Наша хатка скраю
Нікого не чіпає
Тільки трохи страшно
Як туман лягає
Тільки трохи страшно
Як туман лягає
І як прийде нявка
Смереки гойдає
Беру на ніч кріса
Ставлю як світає
Беру на ніч кріса
Ставлю як світає
Гори, гори, гори
Ватра догори, гори, гори
Моя ватра догори, гори, гори
Ватра догори, гори, гори
Моя ватра догори
Косарі на плаю
Бур'єнів косили
А воно курво кричит'
На карпаськім схилі
А я так ся бою
Шо не маю сили
Гори, гори, гори
Ватра догори, гори, гори
Моя ватра догори, гори, гори
Ватра догори, гори, гори
Гори моя ватра!.
Гори моя ватра!.
Гори моя ватра!.
Гори моя ватра!.
Гори!",
235,7 трембіт,Karna,,Rock,"І не треба мікрофонів (мікрофонів)
Злій карпатській опері
Без дротів і електронів (електронів)
Валить груви буревій
Замість клавіш хуртовина (хуртовина)
Журавлі, як скрипалі
Із Карпат до Буковини (Буковини)
Дме по землі
Від Прута і до Дунаю
Чути біт, чути біт
Моє серце згорає
Сім трембіт, сім трембіт
Від Прута і до Дунаю
Чути біт, чути біт
Мою душу розриває
Сім трембіт, сім трембіт
Хай баси хитають хмари (хмари)
Завірюха голосить
Хай ричать наші гітари (гітари)
Як розлючений ведмідь
Замість сцени дим Горганів (Горганів)
Ритмам грому - все одно
Тісне коло із арканів (арканів)
О-о-о-о-о!
Від Прута і до Дунаю
Чути біт, чути біт
Моє серце згорає
Сім трембіт, сім трембіт
Від Прута і до Дунаю
Чути біт, чути біт
Мою душу розриває
Сім трембіт, сім трембіт
Сім трембіт, а-а-а
Сім трембіт, а-а-а
Сім трембіт
Від Прута і до Дунаю
Чути біт, чути біт
Моє серце згорає
Сім трембіт, сім трембіт
Від Прута і до Дунаю
Чути біт, чути біт
Мою душу розриває
Сім трембіт, сім трембіт",
236,"В обіймах сплячого сонця
",Karna,,Rock,"Га-га-и-га, га-я
Га-га-и-га, га-я
Знайди, благаю, знайди
За мить воно розіб'ється
Руки до крові знову
Уламками мого серця
Кради у зими, вкради
Впусти мене за хмари
Там назавжди
Біль – це примари
Минулі дні всі забуваю
Згадки сумні не залишають
Тільки зірки про щось говорять
Лиш бачу тінь сплячого сонця (а-а)
Де ховаєшся ти?
Моя ніч триває
Я так хочу знайти
Свою тінь, шукаю я
Де ховаєшся ти?
Мене ніч тримає
Намагаюсь знайти
Де ти, де ти?
Га-га-и-га, га-я
Га-га-и-га, га-я
Ти посміхнись, я все здолаю
І не мовчи, я все згадаю
Серце птахом вслід за світлом
Роздягаюсь перед вітром
Сонце моє, тепер, як ніколи
Потрібна мені поряд зі мною
Тільки зірки про щось говорять
Ранок прийде в мої бажання (а-а)
Де ховаєшся ти?
Моя ніч триває
Я так хочу знайти
Свою тінь, шукаю я
Де ховаєшся ти?
Мене ніч тримає
Намагаюсь знайти
Де ти, де ти?
Гу-у-у-у-у-у
Гу-у-у-у-у-у
Мг-о-а-е-о-е
Де ховаєшся ти?
Моя ніч триває
Я так хочу знайти
Свою тінь, шукаю я
Де ховаєшся ти?
Мене ніч тримає
Намагаюсь знайти
Де ти, де ти?
",
237,Гуцулметал,Karna,,Rock,"Зліва полонина аж до верховини
Справа полонина моя половина
Мати народила у довгої ялини
Тут я проживаю кожної години
Щасливі діти в краї
Гуцул-метал грає
Щасливі діти в краї
Гуцул-метал рубає
Щасливі діти в краї
Гуцул-метал грає
Щасливі діти в краї
Гуцул-метал файно грає
Гуцул-метал, гож, гож
Гуцул-метал
Гуцул-метал, гож, гож
Гуцул-метал
Зліва полонина гади й павутиння
Справа полонина жодної людини
Сонце зігріває тебе та насіння
Їхати не годно, бо багнюка нині
Щасливі діти в краї
Гуцул-метал грає
Щасливі діти в краї
Гуцул-метал рубає
Щасливі діти в краї
Гуцул-метал грає
Щасливі діти в краї
Гуцул-метал файно грає
Гуцул-метал, гож, гож
Гуцул-метал
Гуцул-метал, гож, гож
Гуцул-метал
Й на душі стає затишно й тепло
Коли с динамиків лунає Карна
І на душі стає красиво-красиво
Коли зі мною моя мила
Й на душі стає затишно й тепло
Коли с динамиків лунає Карна
І на душі стає красиво-красиво
Коли зі мною моя мила
Гуцулметал
Гуцулметал
Й на душі стає затишно й тепло (Гуцулметал)
Коли с динамиків лунає Карна
І на душі стає красиво-красиво
Коли зі мною моя мила
Й на душі стає затишно й тепло (Гуцулметал)
Коли с динамиків лунає Карна
І на душі стає красиво-красиво
Коли зі мною моя мила
Й на душі стає затишно й тепло (Гуцулметал)
Коли с динамиків лунає Карна
Коли с динамиків лунає Карна
Коли с динамиків лунає Карна
Й на душі стає затишно й тепло (Гуцулметал)
Коли с динамиків лунає Карна
Коли с динамиків лунає Карна
Коли с динамиків лунає Карна",
238,Планета Земля,Karna,,Rock,"Сиплються зернятка до землі
Виростуть злидні чи королі?
З ким заплетуться корені?
Хто починає білі чи чорні?
Стукають крапелькі по землі
Хто з них діти, хто монстри злі?
Малий, ходи сюда, волосячко кудряне
Ось тобі олівець, малюй капризулями
А над ними десь падає, падає
Гасне самотня зоря
Метеорами палає, палає
Моя планета Земля
Дивляться зірочки до землі
Через ніч вказуюсь світ мені
Стукають на небі ковалі
Обертають наші долі
Світять планети, нам гублять хвости
Хто скорпіони, хто дерези?
Під яким знаком шлях до мрії?
Який до Адольфа, який до Месії?
А над ними десь падає, падає
Гасне самотня зоря
Метеорами палає, палає
Моя планета Земля
Земля
Земля
Земля
Земля
А над ними десь падає, падає
Гасне самотня зоря
Метеорами палає, палає
Моя планета Земля",
239,Файне мiсто Тернопiль,Брати Гадюкіни,,Rock,"Я мав сімнадцять років
Я вчитися не хтів
Я втік від мами з татом
Я болт на все забив
В Тернополі торчав
Катав у ширку дімідрол
Я ненавидів поп
Я слухав тіко рок-н-рол
Come on, Вася
Старайся не трусити попіл
Добий, бродяга, п'ятку і поїдем
В файне місто Тернопіль
Я там зустрів чувіху
Їй шістнадцяти не було
Зовсім малолєтка
Але в ліжку, як акула
Я з нею все забув
Забув про ширку й дімедрол
Але вона любила диско
А не рок-н-рол
Come on, Вася
Старайся не трусити попіл
Добий, бродяга, п'ятку і поїдем
В файне місто Тернопіль
Вона крутила Boney M
І я від того звар'ював
Нагнав її із хати
Ще й під сраку надавав
І хоч я понімав
Що то в свої ворота гол
Але баби - на час
Forever only Rock'n'Roll
Come on, Вася
Старайся не трусити попіл
Добий, бродяга, п'ятку і поїдем
В файне місто Тернопіль
В файне місто Тернопіль
В файне місто Тернопіль
В файне місто Тернопіль
В файне місто Тернопіль
Добий, бродяга, п'ятку і поїдем
В файне місто Тернопіль",
240,"Дівчина з Коломиї
",Брати Гадюкіни,,Rock,"Дівчина з Коломиї
Гарна та пишна
Ти з трамваю шестьорки
Неожидано вийшла
Ти вийшла, як сонце з-за хмари
Як із нирки виходи камінь
Ти зиму перетворила
На квітень чи, може, травень
Дівчина з Коломиї
(Ї-ї-ї)
Дівчина з Коломиї
(Ї-ї-ї)
Дівчина з Коломиї
(Коломиї)
Коломиї
Дівчина з Коломиї
Висока причьоска
Хоч і не зовсім худая
Та струнка, як берьозка
Руки, як в бусіла крила
Очі, як два озера
Щоки рум'яні, червоні
Як галстук у піонера
Дівчина з Коломиї
(Ї-ї-ї)
Дівчина з Коломиї
(Ї-ї-ї)
Дівчина з Коломиї
(Коломиї)
Коломиї
Дівчина з Коломиї
Я від тебе дурію
Ти - як Вероніка Кастро
Ти - як просто Марія
Дівчино з Коломиї
Дай поцілунок жаркий
Ти моє серце розбила
На маленькі такі кавалки
Дівчина з Коломиї
(Ї-ї-ї)
Дівчина з Коломиї
(Ї-ї-ї)
Дівчина з Коломиї
(Коломиї)
Коломиї
(Коломиї)
Коломиї",
241,"Ми - хлопці з Бандерштадту
",Брати Гадюкіни,,Rock,"Гей!
Гей!
Хто гарних панєнок так кохати вмiє?
Хто разом з колєгою — пара-цвай?
Для кого сонце в небi i свiте, i грiє?
Хто як вже сі здибали, то наливай?
Львiвськi батьяри — цiла наша родина
Яблуко вiд яблунi впало недалеко
Татунi з мамунями скiлько лiжок розвалили
Би на божий свiт нас принiс лелека
То ми — хлопцi з Бандерштадту
Ходимо до церкви, шануємо батькiв
Нiхто та, як ми, не вмiє фест гуляти
Поки сурми не заграли, барабан не забив
Гей!
Дехто говоре: ""Бандити, хулiгани
З тої голоти людей не буде!""
А ми ся подивим, як потреба стане
Хто полiзе в льох, а хто пiд кулi пiде
Львiвськi батьяри — цiла наша родина
Яблуко вiд яблунi впало недалеко
Татунi з мамунями скiлько лiжок розвалили
Би на божий свiт нас принiс лелека
То ми — хлопцi з Бандерштадту
Ходимо до церкви, шануємо батькiв
Нiхто та, як ми, не вмiє фест гуляти
Поки сурми не заграли, барабан не забив
То ми — хлопцi з Бандерштадту
Ходимо до церкви, шануємо батькiв
Нiхто та, як ми, не вмiє фест гуляти
Поки сурми не заграли, барабан не забив
Гей!
Гей!
Львiвськi батьяри ніґди не розбирали
Жид ти чи поляк — аби був не фраєр
Нас завше єднала свята батьярська воля
Хто хоче їй вiдняти, тодi, шо зробиш, fire!
Львiвськi батьяри — цiла наша родина
Яблуко вiд яблунi впало недалеко
Татунi з мамунями скiлько лiжок розвалили
Би на божий свiт нас принiс лелека
То ми — хлопцi з Бандерштадту
Ходимо до церкви, шануємо батькiв
Нiхто та, як ми, не вмiє фест гуляти
Поки сурми не заграли, барабан не забив
То ми — хлопцi з Бандерштадту
Ходимо до церкви, шануємо батькiв
Нiхто та, як ми, не вмiє фест гуляти
Поки сурми не заграли, барабан не забив
То ми — хлопцi з Бандерштадту
Ходимо до церкви, шануємо батькiв
Нiхто та, як ми, не вмiє фест гуляти
Поки сурми не заграли, барабан...",
242,"""Карпати"" Програли Футбол
",Брати Гадюкіни,,Rock,"Житіє, як доміно (доміно)
В тебе завжди дупель-пусто (у-є)
Ходиш голий, як сокол
""Карпати"" програли в футбол
Житіє – один обман
В кишенях павутина, в голові туман
Другий тиждень пив трихопол
""Карпати"" знов програли в футбол
Прощайте, баби (баби), папіроси
Василь прийняв смертельну дозу ковбаси
Прощайте, баби (баби), папіроси
Скоро, скоро вже ми побачимо Христа
Телевізор весь день горит (горит)
Якийсь Сосун говоре: ""Вош енд Ґоу"" (""Вош енд Ґоу"")
Снікерс, Баунті, Стіморол
""Карпати"" програли в футбол
Продав меблі, замість ліжка матрас
Стидуха тьолку в хату привести
Жив, короче, шо галімий монгол
""Карпати"" знов програли в футбол
Прощайте, баби (баби), папіроси
Василь прийняв смертельну дозу ковбаси
Прощайте, баби (баби), папіроси
Скоро, скоро вже ми побачимо Христа
Житіє, як доміно (доміно)
В тебе завжди дупель-пусто (у-є)
Ходиш голий, як сокол
""Карпати"" програли в футбол
Прощайте, баби (баби), папіроси
Василь прийняв смертельну дозу ковбаси
Прощайте, баби (баби), папіроси
Скоро, скоро вже ми побачимо Христа
Скоро, скоро вже ми побачимо Христа
Скоро, скоро вже ми побачимо Христа
Скоро, скоро вже ми побачимо Христа
Скоро, скоро вже ми побачимо Христа
Ой, кувала зозулиця в червоній калині
Фірма ""Reebok"" знаменита на цілій Вкраїні
Ой, кувала зозулиця у зеленім листі
Фірма ""Reebok"" в цілім світі є на первім місці
Вітер віє з полонини, смереки хитає
Фірму ""Reebok"" у Карпатах кожний гуцул знає
Віє вітер з полонини, віє у долину
Фірма ""Reebok"" знаменита на цілу країну
В кожній хаті електрика, ше й радіо грає
Фірма ""Reebok"" в Україні цвіте-розцвітає",
243,Емігрант сонг,Брати Гадюкіни,,Rock,"Бай-бай, мила, бай-бай
Бай-бай, мила, прощай
Автобусом до Льондону, літаком до Вашингтону
Бай-бай, мила, мене забувай
Ну, холєра, всьо, нарешті їду
За спинов лишився Родіни кордон
Первим дєлом я у Англію до цьоці заїду
А потім на літакови полечу в Вошингтон
Бай-бай, мила, бай-бай
Бай-бай, мила, прощай
Автобусом до Льондону, літаком до Вашингтону
Бай-бай, мила, мене забувай
Дякую тобі, мамо
Шо в поля водила край села
Шо ночей не досипала, і в дорогу проводжала
І рушник вишиваний ти на щастя дала
Бай-бай, мила, бай-бай
Бай-бай, мила, прощай
Автобусом до Льондону, літаком до Вашингтону
Бай-бай, мила, мене забувай
Дякую, мої сестри
Бо Господь ми дав вас цілих дві
Як єдна сідло сховає, то втора 'го відшукає
І я їду до дівчини, шо ся нравит мені
Бай-бай, мила, бай-бай
Бай-бай, мила, прощай
Автобусом до Льондону, літаком до Вашингтону
Бай-бай, мила, мене забувай
Бай-бай, мила, бай-бай
Бай-бай, мила, прощай
Автобусом до Льондону, літаком до Вашингтону
Бай-бай, мила, мене забувай
Бай-бай, мила, бай-бай
Бай-бай, мила, прощай
Автобусом до Льондону
Автобусом до Льондону
Автобусом до Льондону, літаком до Вашингтону
Бай-бай, мила, мене забувай
",
244,"Чуваки, всьо чотко!",Брати Гадюкіни,,Rock,"Кохана, я з далека бачу
Кохана, писок твій червоний
Кохана, троха я сі тащу
Кохана, випив ацетони
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей дана-дана
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей дана-дана
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей джига-джига
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей бугі-мугі, є
Я видів, що на краківскькім базарі
Жиди файні мешти продавали
Я хтів би, аби ти мала такі самі
То врешті ми з тобов сі змільдували
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей дана-дана
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей дана-дана
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей джига-джига
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей бугі-мугі, є
Ява триста пєдесята
Блистить, як в собаки яйця
Стою я під твоєю хатов
Виходь, поїдемо на танці (танці, танці, танці, танці, танці)
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей дана-дана
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей дана-дана
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей джига-джига
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей бугі-мугі, є
М'ясо є (є-є)
Пиво є (є-є)
Сало є (є-є)
Чотко, чотко, чотко, чотко
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей дана-дана
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей дана-дана
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей джига-джига
Чуваки (чувакі-є), всьо чотко
Чуваки (чувакі-є), гей бугі-мугі, є
А бугі-мугі, є
А бугі-мугі, є
А бугі-мугі, є-є-є-є-є-є-є",
245,Було не любити,Брати Гадюкіни,,Rock,"Я не видів більшого світла, як палали очі твої
Я не відав більшого жару, та як уста твої наливні
Я не бачив такого розмєру, та як перса твої молоді
Ми зустрілись з тобою у парку, а розстались з тобов навесні
Було не любити, а я полюбив
Було не хотіти, а я дуже хтів
Було не робити тілесних гріхів
Я маю надію, ти ся вернеш домів
Наше ліжко стоїть не прибраним, цілу ніч я ся кручу у нім (ча-ча ча-ча ча)
На білизні просвічуют плями, з туги плачут жельози мої (ча-ча ча-ча ча)
Цілий день я стою перед брамов і дивлюся далеко на шлях (ча-ча ча-ча ча)
Ти прийдеш і улибку джоконди я побачу на твоїх устах
Було не любити, а я полюбив
Було не хотіти, а я дуже хтів
Було не робити тілесних гріхів
Я маю надію, ти ся вернеш домів
Було не любити, а я полюбив
Було не хотіти, а я дуже хтів
Було не робити тілесних гріхів
Я маю надію, ти ся вернеш домів
Було не любити
Було не хотіти
Було не робити
Було не любити
Було не хотіти
Було не робити
Було не любити
Було не хотіти",
246,Джалізова дупа,Брати Гадюкіни,,Rock,"Я знав тебе пацанкою малою
І ноль вніманія на тебе обращав
А як прийшов із армії додому
Тебе побачив і на дупу впав
Ти розквіла як маковиння на городі
Я від кохання чисто звар'ював
Я за тобою їздив на мопеді
Hеоднократно погляд твій лапав
Гой-ра, ой-ра-я
Дупа джалізовая
Гой-ра, ой-ра-я
Дупа джалізовая
Hа проводах в Стецишина Миколи
Ти шейк зі мною танцювать пішла
І тут мені повіла откровенно
Же влюблена в Безкоровайного Петра
І я напився і пішов до клубу
І цеглою побив всі ліхтарі
По 206-й, частині другій
Hародний суд два роки дав мені
Гой-ра, ой-ра-я
Дупа джалізовая
Гой-ра, ой-ра-я
Дупа джалізовая
За те шо їв я на параші сало
Блатні мене зробили пєтухом
Тепер живу я досить непогано
Хіба із дупи часто ллється кров
Гой-ра, ой-ра-я
Дупа джалізовая
Гой-ра, ой-ра-я
Дупа джалізовая
Гой-ра, ой-ра-я
Дупа джалізовая
Гой-ра, ой-ра-я
Дупа джалізовая
Гой-ра, ой-ра-я
Дупа джалізовая
Гой-ра, ой-ра-я
Дупа джалізовая
Гой-ра, ой-ра-я
Дупа джалізовая
Гой-ра, ой-ра-я
Дупа джалізовая
Гой-ра, ой-ра-я
Дупа джалізовая
Гой-ра, ой-ра-я
Дупа джалізовая",
247,"117 стаття
",Брати Гадюкіни,,Rock,"Тюрма, тюрма
Дай мені кличку
Стаття 117
Путьовий
Їде столипін, колеса стучат
Ніч на дворі, всі бродяги сплят
Я один не сплю
Думу думаю
Про тяжку долю свою
І 117 статтю
117 стаття
117 стаття
117 стаття
Доля молодьожная
Я поклеїв малолєтку
Її я полюбив
Ну не так, шоб полюбив
Але півтижня з нев ходив
Потім чу-чуть їй дав під хвіст
Потім сказав їй бай-бай
Вона була зовсім тупа
Любила Миколайчука
117 стаття
117 стаття
117 стаття
Доля молодьожная
Чувіха все повіла мамі
Та підняла шум і гам
Гворе – плати тисячу баксів
Або під суд тебе віддам
Я їй сказав, що за ті гроші
Я можу виграти її
Її сестру і братову
І всю родину на селі
117 стаття
117 стаття
117 стаття
Доля молодьожная",
248,Я вернувся домів,Брати Гадюкіни,,Rock,"Я намотався по світі
Де я тілько не був
В карти грав на Гаїті
І держав весь Стамбул
Був на кіче у Берліні
Їздив красти в Тель-Авів
Мені це все осточортіло
Я вернувся домів
Я вернувся домів
Я вернувся домів
Я вернувся домів
В своє рідне місто Львів
Я нюхав коку в Амстердамі
Я у Мюнхені пиво пив
Банк зірвав у Монте-Карло
В Парижі все на баб спустив
Я бився з неграми в Нью-Йорку
В Варшаві тріпером хорів
Мені це все осточортіло
Я вернувся домів
Я вернувся домів
Я вернувся домів
Я вернувся домів
В своє рідне місто Львів
Я мав мадярку в Будапешті
Я в Римі італійку грав
З жидівков спав в Єрусалимі
А чорних де тіко не мав
Нема на глобусі країни
Де б мене тьолка не ждала
Але я знаю - в цілім світі
Лучше Стефки нема
Я вернувся домів
Я вернувся домів
Я вернувся домів
В своє рідне місто Львів
Я вернувся домів
Я вернувся домів
Я вернувся домів
В своє рідне місто Львів
",
249,Місячне сяйво твого тіла,Брати Гадюкіни,,Rock,"Місячне сяйво твого тіла
",
250,Рок-н-рол до рана,Брати Гадюкіни,,Rock,"Піду я на верховину штайер заспіваю
Дуже файно мені жити у совєцькім краю
Через гори, через ліс летіла зозуля
Піду я на агітпункт і проголосую
Гей, забава
Рок-н-рол до рана
Пий, гуляй, веселись
Штокар, слюсар, не журись
Добре попрацюєм
Новий мир збудуєм
В нашим ріднім се-ре-се-ру
Раз, два, три - холера
Йшла корова по дорозі, а за нев телєтко
Виконали достроково лемки пятілєтку
Їхав вуйко на ровері, кулько сі спустило
Робітник і селянин - то велика сила
Гей, забава
Рок-н-рол до рана
Пий, гуляй, веселись
Штокар, слюсар, не журись
Добре попрацюєм
Новий мир збудуєм
В нашим ріднім се-ре-се-ру
Раз, два, три - холера
Сидит баба на загаті, маєтки латає
Міжи містом і селом грань вже сі стирає
Пішла дівка в кукурудзу, а за нев Микола
При совєтах діти всі посіщают школу
Гей, забава
Рок-н-рол до рана
Пий, гуляй, веселись
Штокар, слюсар, не журись
Добре попрацюєм
Новий мир збудуєм
В нашим ріднім се-ре-се-ру
Раз, два, три - холера
Дівка милася в ставку розпустила коси
До країн цілого світу з дружбов сі відносим
Побратими дорогі, сусіди-поляки
Hаші дружні почуття - від самого серця
Гей, забава
Рок-н-рол до рана
Пий, гуляй, веселись
Штокар, слюсар, не журись
Добре попрацюєм
Новий мир збудуєм
В нашим ріднім се-ре-се-ру
Раз, два, три - холера
Гей, забава
Рок-н-рол до рана
Пий, гуляй, веселись
Штокар, слюсар, не журись
Добре попрацюєм
Новий мир збудуєм
В нашим ріднім се-ре-се-ру
Раз, два, три - холера, гей",
